id,name,address,roadAddress,displayCode,displayName,city_id,city_name,point_x,point_y,routeType_id,routeType_name,transfers,,,자치구_코드_명,면적(km²),지하철역_수,지하철역_밀도(개/km²)
11006,흥선,경기도 의정부시 가능동 343-52,경기도 의정부시 호국로 1197,U115,흥선역,1000,서울,127.0371208,37.7432932,110,의정부경전철,,,,,,,
70118,범내골,부산광역시 부산진구 범천동 948-4,부산광역시 부산진구 중앙대로 612,118,범내골역,7000,부산,129.0592593,35.1473273,71,1호선,,,,,,,
70219,서면,부산광역시 부산진구 부전동 573-1,부산광역시 부산진구 중앙대로 730,219,서면역,7000,부산,129.0586482,35.1576666,72,2호선,70119,,,,,,
70301,수영,부산광역시 수영구 광안동 1091-1,부산광역시 수영구 수영로 677,301,수영역,7000,부산,129.114363,35.1679099,73,3호선,70208,,,,,,
70829,센텀,부산광역시 해운대구 재송동 646-2,부산광역시 해운대구 해운대로 210,K118,센텀역,7000,부산,129.1245441,35.1794953,78,동해선,,,,,,,
70408,금사,부산광역시 금정구 금사동 154-1,부산광역시 금정구 반송로 465,408,금사역,7000,부산,129.1151423,35.2157853,74,4호선,,,,,,,
70313,덕천,부산광역시 북구 덕천동 327,부산광역시 북구 금곡대로 14,313,덕천역,7000,부산,129.0056607,35.2102045,73,3호선,70233,,,,,,
40130,반월당,대구광역시 중구 덕산동 88,대구광역시 중구 달구벌대로 2100,130,반월당역,4000,대구,128.5933336,35.8645916,41,1호선,40230,,,,,,
50113,남광주,광주광역시 동구 학동 994,광주광역시 동구 제봉로 1,103,남광주역,5000,광주,126.922832,35.1394786,51,1호선,,,,,,,
30106,중구청,대전광역시 중구 대흥동 630,대전광역시 중구 중앙로 71,106,중구청역,3000,대전,127.419622,36.3248346,31,1호선,,,,,,,
118,녹천,서울특별시 도봉구 창동 57-11,서울특별시 도봉구 덕릉로 376,117,녹천역,1000,서울,127.0514262,37.6446076,1,1호선,,,,,,,
412,창동,서울특별시 도봉구 창동 135-1,서울특별시 도봉구 마들로 11길 77,412,창동역,1000,서울,127.0479675,37.6532513,4,4호선,117,,,,,,
713,노원,서울특별시 노원구 상계동 729,서울특별시 노원구 동일로 1409,713,노원역,1000,서울,127.0605231,37.6546928,7,7호선,411,,,,,,
